epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.15567,1.03285,3.41856,1.28109,0.00667,0.52174,0.04384,0.02997,0.82004,3.33603,1.20124,6e-05,6e-05,6e-05
2,5.58908,0.96347,3.02226,1.23825,0.53558,0.95652,0.90916,0.64987,0.96417,5.98863,1.14526,0.000137228,0.000137228,0.000137228
3,9.30485,0.88315,1.29067,1.12194,0.73684,0.78261,0.80723,0.52148,1.14808,2.73343,1.21369,0.000211288,0.000211288,0.000211288
4,12.2546,0.84299,0.82507,1.06681,0.72074,0.67378,0.78313,0.5052,1.21502,2.3679,1.37448,0.00028218,0.00028218,0.00028218
5,15.2687,0.97126,0.86041,1.16274,0.72481,0.65217,0.69346,0.42054,1.30007,1.41849,1.43319,0.000349904,0.000349904,0.000349904
6,18.1453,0.84928,0.74983,1.017,0.66987,0.73913,0.72946,0.47955,1.24241,1.66759,1.33908,0.00041446,0.00041446,0.00041446
7,20.9649,0.85429,0.78214,1.06177,0.92513,0.56522,0.60209,0.3483,1.6783,2.26512,2.18498,0.000475848,0.000475848,0.000475848
8,23.7528,0.83522,0.70629,1.02346,0.61386,0.56522,0.54879,0.33669,1.67749,2.13011,1.70046,0.000534068,0.000534068,0.000534068
9,26.5554,0.83132,0.62782,1.01537,0.00264,0.08696,0.00153,0.00018,nan,nan,nan,0.00058912,0.00058912,0.00058912
10,29.3847,0.85945,0.75859,1.04202,0,0,0,0,nan,nan,nan,0.000641004,0.000641004,0.000641004
11,32.3981,0.84619,0.74693,1.02538,0.00278,0.21739,0.00193,0.00039,nan,nan,nan,0.00068972,0.00068972,0.00068972
12,35.2197,0.88986,0.79936,1.06716,0.00222,0.17391,0.00171,0.00063,nan,nan,nan,0.000735268,0.000735268,0.000735268
13,38.2085,0.83689,0.71944,1.01726,0,0,0,0,nan,nan,nan,0.000777648,0.000777648,0.000777648
14,41.0357,0.77234,0.69935,0.98512,0.00167,0.04348,0.00246,0.00074,nan,nan,nan,0.00081686,0.00081686,0.00081686
15,43.8098,0.80452,0.59956,1.01948,0,0,0,0,nan,nan,nan,0.000852904,0.000852904,0.000852904
16,46.5425,0.87321,0.66881,1.06976,0,0,0,0,nan,nan,nan,0.00088578,0.00088578,0.00088578
17,49.2755,0.84768,0.6004,1.06766,0.00333,0.04348,0.00189,0.00063,nan,nan,nan,0.000915488,0.000915488,0.000915488
18,52.2064,0.8364,0.65833,1.05157,0,0,0,0,nan,nan,nan,0.000942028,0.000942028,0.000942028
19,54.992,0.81463,0.71014,1.04809,0,0,0,0,nan,nan,nan,0.0009654,0.0009654,0.0009654
20,57.8426,0.81221,0.62228,1.0042,0,0,0,0,5.50757,inf,50.2452,0.000985604,0.000985604,0.000985604
21,60.7433,0.84201,0.64873,1.03932,0.00152,0.08696,0.00066,0.00025,4.46195,81.1121,18.2996,0.00100264,0.00100264,0.00100264
22,63.5654,0.81729,0.57076,1.01392,0,0,0,0,nan,nan,nan,0.00101651,0.00101651,0.00101651
23,66.4101,0.89268,0.63063,1.09836,0,0,0,0,nan,nan,nan,0.00102721,0.00102721,0.00102721
24,69.2,0.81841,0.61678,0.99494,0.06263,0.04348,0.00477,0.00071,nan,nan,nan,0.00103474,0.00103474,0.00103474
25,72.1044,0.82813,0.5717,1.04512,0.05347,0.13043,0.01063,0.00304,3.69978,10.8008,6.99851,0.0010391,0.0010391,0.0010391
26,74.9415,0.82318,0.64715,1.03534,0.06707,0.08696,0.01241,0.00381,nan,nan,nan,0.00101,0.00101,0.00101
27,77.694,0.83081,0.61397,1.04964,0.32364,0.33329,0.20405,0.08984,2.08631,7.24257,2.41881,0.0009704,0.0009704,0.0009704
28,80.4799,0.75563,0.53001,0.9878,0.45039,0.34783,0.31385,0.1609,1.90092,4.60077,2.19019,0.0009308,0.0009308,0.0009308
29,83.2589,0.72464,0.53628,1.023,0.65229,0.52174,0.49495,0.29056,1.66098,1.87407,2.00579,0.0008912,0.0008912,0.0008912
30,86.0987,0.698,0.51674,0.99646,0.9694,0.52174,0.72026,0.42419,1.54214,1.50146,1.78505,0.0008516,0.0008516,0.0008516
31,88.918,0.69126,0.55196,1.00031,0.79355,0.69565,0.7474,0.4924,1.24664,2.44367,1.48526,0.000812,0.000812,0.000812
32,91.8083,0.73941,0.51653,0.97831,0.74927,0.86957,0.82611,0.55334,1.24086,2.23606,1.49774,0.0007724,0.0007724,0.0007724
33,94.6336,0.67041,0.46585,0.95128,0.73816,0.86957,0.88343,0.53764,1.27473,2.19011,1.61093,0.0007328,0.0007328,0.0007328
34,97.4385,0.64583,0.45951,0.9653,0.79292,0.83263,0.90171,0.5031,1.36409,1.73526,1.74075,0.0006932,0.0006932,0.0006932
35,100.245,0.66242,0.48155,0.94515,0.82775,0.86957,0.85836,0.50519,1.32712,1.49568,1.74325,0.0006536,0.0006536,0.0006536
36,103.058,0.6906,0.48776,1.00345,0.82711,0.86957,0.90456,0.57659,1.16172,1.273,1.51284,0.000614,0.000614,0.000614
37,105.872,0.625,0.44173,0.94486,0.70574,0.78261,0.84276,0.5657,1.15202,1.65385,1.39319,0.0005744,0.0005744,0.0005744
38,108.778,0.59687,0.43749,0.92749,0.70984,0.73913,0.82334,0.54338,1.19186,2.04928,1.45772,0.0005348,0.0005348,0.0005348
39,111.617,0.62002,0.42368,0.94571,0.4716,0.78261,0.51074,0.34967,1.1839,2.76693,1.41777,0.0004952,0.0004952,0.0004952
40,114.529,0.6,0.40037,0.95445,0.34497,0.78261,0.37012,0.25613,1.12963,2.5107,1.36605,0.0004556,0.0004556,0.0004556
41,126.672,0.51455,0.35276,0.90546,0.30336,0.82609,0.31044,0.20104,1.20821,2.85504,1.41473,0.000416,0.000416,0.000416
42,129.413,0.51453,0.35568,0.89333,0.32048,0.86957,0.29895,0.19065,1.21451,2.95889,1.41963,0.0003764,0.0003764,0.0003764
43,132.389,0.51701,0.34811,0.89336,0.28174,0.75053,0.26827,0.19187,1.15103,2.73255,1.31954,0.0003368,0.0003368,0.0003368
44,135.409,0.48494,0.33214,0.87895,0.41612,0.73913,0.46543,0.33624,1.05572,1.82382,1.23307,0.0002972,0.0002972,0.0002972
45,138.309,0.47865,0.34428,0.86582,0.89905,0.73913,0.83893,0.6219,1.00847,1.0476,1.21891,0.0002576,0.0002576,0.0002576
46,141.242,0.46717,0.3199,0.8627,0.79745,0.91304,0.8874,0.64405,1.05502,0.76164,1.23055,0.000218,0.000218,0.000218
47,144.088,0.4262,0.3118,0.86302,0.80684,0.91304,0.89043,0.65246,1.0901,0.67237,1.26724,0.0001784,0.0001784,0.0001784
